station_id,timestamp,pm25,pm10,wind_speed,temperature
S01,2026-01-01 00:00:00,14.17,20.98,0.0,-3.83
S01,2026-01-01 01:00:00,16.63,24.4,0.82,-1.99
S01,2026-01-01 02:00:00,14.09,21.84,1.8,-2.39
S01,2026-01-01 03:00:00,15.22,26.38,1.19,-1.13
S01,2026-01-01 04:00:00,13.51,17.25,4.03,-0.08
S01,2026-01-01 05:00:00,17.13,29.09,4.39,-1.95
S01,2026-01-01 06:00:00,16.63,26.31,4.71,1.07
S01,2026-01-01 07:00:00,37.98,60.56,3.35,0.41
S01,2026-01-01 08:00:00,40.15,64.77,3.61,1.86
S01,2026-01-01 09:00:00,40.0,61.1,2.3,1.7
S01,2026-01-01 10:00:00,17.17,22.9,2.64,0.44
S01,2026-01-01 11:00:00,16.92,25.37,2.3,3.49
S01,2026-01-01 12:00:00,19.62,33.38,0.69,2.77
S01,2026-01-01 13:00:00,18.59,28.24,0.0,2.86
S01,2026-01-01 14:00:00,21.51,36.65,0.0,3.4
S01,2026-01-01 15:00:00,17.02,31.68,0.0,0.74
S01,2026-01-01 16:00:00,34.8,59.64,0.0,2.51
S01,2026-01-01 17:00:00,29.84,42.08,0.0,-1.26
S01,2026-01-01 18:00:00,30.17,46.25,0.0,-1.68
S01,2026-01-01 19:00:00,15.45,26.51,0.0,-0.89
S01,2026-01-01 20:00:00,17.95,28.32,0.0,-0.46
S01,2026-01-01 21:00:00,16.44,28.66,0.0,-2.61
S01,2026-01-01 22:00:00,17.72,28.45,0.0,-3.12
S01,2026-01-01 23:00:00,20.71,34.06,0.0,-2.32
S01,2026-01-02 00:00:00,16.64,29.1,0.08,-3.24
S01,2026-01-02 01:00:00,13.69,19.0,0.95,-2.38
S01,2026-01-02 02:00:00,17.08,30.52,0.54,-0.4
S01,2026-01-02 03:00:00,15.88,26.55,3.11,0.09
S01,2026-01-02 04:00:00,14.49,26.55,3.81,0.11
S01,2026-01-02 05:00:00,15.53,25.22,3.72,-1.07
S01,2026-01-02 06:00:00,18.68,31.02,2.94,-1.77
S01,2026-01-02 07:00:00,38.86,58.67,4.56,0.69
S01,2026-01-02 08:00:00,36.44,62.62,3.0,2.09
S01,2026-01-02 09:00:00,39.01,65.24,1.53,2.73
S01,2026-01-02 10:00:00,19.09,28.52,0.8,3.53
S01,2026-01-02 11:00:00,17.25,26.11,0.57,3.39
S01,2026-01-02 12:00:00,19.96,26.09,0.68,3.91
S01,2026-01-02 13:00:00,16.22,27.17,0.0,2.92
S01,2026-01-02 14:00:00,15.34,25.28,0.0,2.98
S01,2026-01-02 15:00:00,17.77,33.57,0.0,3.17
